Timestamp(ms); ID; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesCompleted; State 
12-03-2025 13:58:36.9031; 0; 179; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9141; 0; 180; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9250; 0; 181; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9370; 0; 182; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9486; 0; 183; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9596; 0; 184; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9695; 0; 185; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9815; 0; 186; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.9925; 0; 187; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0034; 0; 188; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0154; 0; 189; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0254; 0; 190; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0363; 0; 191; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0483; 0; 192; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0593; 0; 193; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0703; 0; 194; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0822; 0; 195; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.0932; 0; 196; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1042; 0; 197; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1151; 0; 198; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1261; 0; 199; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1371; 0; 200; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1500; 0; 201; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1600; 0; 202; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
