EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
-7,-24,-66,-76,-14,0,0,-2,extension,0.24,0.6,0.6,0.2680767,0.6487609,0.3755108
-7,1,-10,-9,-8,-8,-7,-6,extension,0.24,0.6,0.6,0.2683151,0.6473525,0.3774701
10,20,27,86,23,9,5,4,extension,0.24,0.6,0.6,0.2683151,0.6473525,0.3774701
-2,8,19,-10,5,-5,-5,-4,extension,0.24,0.6,0.6,0.2684736,0.6459608,0.3793842
3,3,14,24,3,0,1,1,extension,0.24,0.6,0.6,0.2684736,0.6459608,0.3793842
7,5,-15,14,9,10,7,6,extension,0.24,0.6,0.6,0.2684736,0.6459608,0.3793842
-4,-17,3,44,8,1,0,0,extension,0.24,0.6,0.6,0.2684736,0.6459608,0.3793842
-5,-6,-16,-20,-15,-7,-5,-2,extension,0.24,0.6,0.6,0.2687334,0.6428643,0.3830161
4,10,0,-39,-4,2,3,3,extension,0.24,0.6,0.6,0.2687334,0.6428643,0.3830161
-1,1,41,61,10,2,-2,-2,extension,0.24,0.6,0.6,0.268936,0.6414596,0.3847836
8,13,14,0,14,10,4,1,extension,0.24,0.6,0.6,0.268936,0.6414596,0.3847836
-3,-9,-1,-10,2,-5,-5,-3,extension,0.24,0.6,0.6,0.2690705,0.6401321,0.3864458
-12,-13,3,32,-21,-11,-8,-9,extension,0.24,0.6,0.6,0.2690705,0.6401321,0.3864458
7,11,30,-24,-7,-3,2,1,extension,0.24,0.6,0.6,0.2692514,0.6387587,0.3882942
0,6,16,16,-1,-3,3,3,extension,0.24,0.6,0.6,0.2692514,0.6387587,0.3882942
-19,-27,-59,-102,-46,-14,-12,-10,extension,0.24,0.6,0.6,0.2693698,0.6374199,0.390025
9,14,30,22,33,8,5,3,extension,0.24,0.6,0.6,0.2693698,0.6374199,0.390025
18,34,32,80,41,27,20,17,extension,0.24,0.6,0.6,0.2693698,0.6374199,0.390025
-13,-19,-23,-103,-40,-11,-10,-9,extension,0.24,0.6,0.6,0.2693698,0.6374199,0.390025
10,9,12,23,10,3,7,4,extension,0.24,0.6,0.6,0.2696558,0.636204,0.3918842
-4,-12,-38,42,5,-10,-4,-3,extension,0.24,0.6,0.6,0.2696558,0.636204,0.3918842
3,1,-22,-128,-31,10,7,6,extension,0.24,0.6,0.6,0.2700639,0.6331283,0.3945938
9,13,26,82,29,14,5,6,extension,0.24,0.6,0.6,0.2700639,0.6331283,0.3945938
8,9,8,-4,7,1,0,0,extension,0.24,0.6,0.6,0.2705576,0.6318976,0.3962891
6,19,49,88,18,4,5,8,extension,0.24,0.6,0.6,0.2705576,0.6318976,0.3962891
-5,-14,-1,50,-4,-11,-3,-5,extension,0.24,0.6,0.6,0.2711764,0.629265,0.39862
-7,-8,-56,15,-2,-6,-5,-4,extension,0.24,0.6,0.6,0.2711764,0.629265,0.39862
0,7,42,24,-36,-16,-11,-6,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
1,3,-19,-4,19,16,6,4,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
-29,-31,-10,-14,-71,-37,-26,-22,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
1,1,-17,-25,1,-2,1,1,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
-2,-1,41,47,-7,3,1,-2,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
-2,-13,-82,-55,19,11,3,4,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
-3,-7,-9,36,5,-10,-7,-5,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
2,-2,-17,-54,-29,2,2,0,extension,0.24,0.6,0.6,0.2715055,0.6280403,0.3998547
17,36,60,89,68,35,22,17,extension,0.24,0.6,0.6,0.2718873,0.6266128,0.4014134
-9,-24,-74,-35,16,3,1,-2,extension,0.24,0.6,0.6,0.2718873,0.6266128,0.4014134
-11,-4,33,-20,-20,-14,-14,-8,extension,0.24,0.6,0.6,0.2722611,0.6253527,0.4027126
13,12,20,52,-26,-7,4,5,extension,0.24,0.6,0.6,0.2722611,0.6253527,0.4027126
21,35,39,46,54,8,15,13,extension,0.24,0.6,0.6,0.2729147,0.6240753,0.4039514
-5,-19,-45,-39,-26,6,-4,-4,extension,0.24,0.6,0.6,0.2729147,0.6240753,0.4039514
10,7,-15,7,33,6,11,7,extension,0.24,0.6,0.6,0.2729147,0.6240753,0.4039514
0,26,80,34,-1,-5,-4,-4,extension,0.24,0.6,0.6,0.2729147,0.6240753,0.4039514
-1,-17,-37,-28,20,21,9,2,extension,0.24,0.6,0.6,0.2740645,0.620893,0.4052892
-39,-39,-25,-72,-105,-65,-40,-30,extension,0.24,0.6,0.6,0.2740645,0.620893,0.4052892
23,30,30,55,35,22,20,14,extension,0.24,0.6,0.6,0.2740645,0.620893,0.4052892
-5,-3,-27,23,18,-7,-4,2,extension,0.24,0.6,0.6,0.2740645,0.620893,0.4052892
-8,-10,47,41,-19,-28,-15,-13,extension,0.24,0.6,0.6,0.2748435,0.6196188,0.4060774
-10,-20,-10,19,55,-1,-10,-7,extension,0.24,0.6,0.6,0.2748435,0.6196188,0.4060774
7,7,-9,-89,-70,-2,2,8,extension,0.24,0.6,0.6,0.2755865,0.6179311,0.406106
3,-12,-60,55,41,13,4,0,extension,0.24,0.6,0.6,0.2755865,0.6179311,0.406106
-14,-12,3,-47,-75,-14,-11,-6,extension,0.24,0.6,0.6,0.276332,0.6165565,0.4065711
10,12,-4,55,79,15,7,5,extension,0.24,0.6,0.6,0.276332,0.6165565,0.4065711
3,7,9,82,59,-11,-1,2,extension,0.24,0.6,0.6,0.2774039,0.615229,0.4070649
-8,-10,-22,-72,21,5,-21,2,extension,0.24,0.6,0.6,0.2774039,0.615229,0.4070649
2,10,51,69,-111,-40,-2,-1,extension,0.24,0.6,0.6,0.2781553,0.6135062,0.4074947
7,10,30,36,78,42,15,6,extension,0.24,0.6,0.6,0.2781553,0.6135062,0.4074947
-17,-28,-37,-54,-62,-1,6,-7,extension,0.24,0.6,0.6,0.2788616,0.6118747,0.4077313
-3,0,27,78,49,30,3,-4,extension,0.24,0.6,0.6,0.2788616,0.6118747,0.4077313
-20,-36,-55,-46,-61,-31,-21,-19,extension,0.24,0.6,0.6,0.2797821,0.6102942,0.4077353
19,33,59,127,57,0,7,13,extension,0.24,0.6,0.6,0.2797821,0.6102942,0.4077353
-14,-20,-25,-15,-34,-66,-52,-11,extension,0.24,0.6,0.6,0.2805333,0.6087222,0.40763
-9,-11,7,50,-20,5,21,-8,extension,0.24,0.6,0.6,0.2805333,0.6087222,0.40763
-6,5,-4,-30,-13,3,-5,-5,extension,0.24,0.6,0.6,0.2813474,0.6075045,0.4075661
5,13,63,109,-49,-42,-4,-1,extension,0.24,0.6,0.6,0.2813474,0.6075045,0.4075661
11,-3,-92,-125,-6,66,31,7,extension,0.24,0.6,0.6,0.2813474,0.6075045,0.4075661
10,11,-9,26,-24,-14,4,3,extension,0.24,0.6,0.6,0.2813474,0.6075045,0.4075661
-11,1,69,22,-128,-55,-26,-13,extension,0.24,0.6,0.6,0.2823706,0.6051679,0.407666
11,25,34,88,28,-12,-14,0,extension,0.24,0.6,0.6,0.2823706,0.6051679,0.407666
18,27,38,91,117,59,19,19,extension,0.24,0.6,0.6,0.2823706,0.6051679,0.407666
-29,-46,-3,-25,-74,-34,-16,-24,extension,0.24,0.6,0.6,0.2823706,0.6051679,0.407666
12,23,44,-88,-79,-1,16,10,extension,0.24,0.6,0.6,0.2828435,0.6044151,0.4082348
1,-10,-37,-124,15,16,2,7,extension,0.24,0.6,0.6,0.2828435,0.6044151,0.4082348
-8,-3,4,94,-20,-15,-1,-5,extension,0.24,0.6,0.6,0.2834622,0.6037294,0.4090247
22,19,24,-23,69,44,15,14,extension,0.24,0.6,0.6,0.2834622,0.6037294,0.4090247
-11,-29,-61,-61,6,-6,-34,-7,extension,0.24,0.6,0.6,0.283803,0.6031225,0.4095176
1,-2,-9,63,41,-1,25,0,extension,0.24,0.6,0.6,0.283803,0.6031225,0.4095176
-21,-11,-12,-120,-39,-8,-10,-16,extension,0.24,0.6,0.6,0.283803,0.6031225,0.4095176
-14,-12,5,-34,-57,-12,-4,-9,extension,0.24,0.6,0.6,0.283803,0.6031225,0.4095176
10,1,-15,93,38,29,28,6,extension,0.24,0.6,0.6,0.2848668,0.6026896,0.4116328
8,2,-20,-117,39,25,32,5,extension,0.24,0.6,0.6,0.2848668,0.6026896,0.4116328
-15,-26,-32,-39,-67,-23,-11,-5,extension,0.24,0.6,0.6,0.2852612,0.6026093,0.4125044
9,8,-15,-19,-22,-20,-2,-1,extension,0.24,0.6,0.6,0.2852612,0.6026093,0.4125044
0,2,-6,77,-38,-3,-17,-4,extension,0.24,0.6,0.6,0.2855756,0.6028275,0.4134036
-9,-9,-37,-98,-2,7,-5,-7,extension,0.24,0.6,0.6,0.2855756,0.6028275,0.4134036
-5,-12,-11,-7,65,0,3,-6,extension,0.24,0.6,0.6,0.2860014,0.6030959,0.4143019
-4,-1,0,2,-10,-12,5,2,extension,0.24,0.6,0.6,0.2860014,0.6030959,0.4143019
3,0,4,79,-25,-48,-22,-6,extension,0.24,0.6,0.6,0.2860014,0.6030959,0.4143019
-10,-16,-16,-116,-30,38,2,-3,extension,0.24,0.6,0.6,0.2860014,0.6030959,0.4143019
6,0,-22,3,4,14,-26,5,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
12,8,-2,73,51,41,21,9,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
-13,-6,-9,40,4,-18,-14,-4,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
0,8,9,49,42,-8,5,5,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
-3,-10,30,89,13,-39,-13,-13,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
5,9,37,81,68,9,3,-2,extension,0.24,0.6,0.6,0.2869221,0.603166,0.4164846
-29,-37,-22,32,-25,-17,-14,-14,extension,0.24,0.6,0.6,0.2873605,0.6032518,0.4167454
-7,-11,-10,-13,-33,-19,-16,-4,extension,0.24,0.6,0.6,0.2873605,0.6032518,0.4167454
10,17,9,17,14,23,22,6,extension,0.24,0.6,0.6,0.2877453,0.603363,0.4173166
-10,-11,-18,-74,-47,-39,-32,-7,extension,0.24,0.6,0.6,0.2877453,0.603363,0.4173166
-7,-2,-52,-32,-25,7,2,-2,extension,0.24,0.6,0.6,0.288078,0.6034025,0.4175899
10,18,0,3,65,27,7,3,extension,0.24,0.6,0.6,0.288078,0.6034025,0.4175899
-1,11,15,20,-2,2,4,3,extension,0.24,0.6,0.6,0.288078,0.6034025,0.4175899
5,-1,-12,-13,62,21,14,-3,extension,0.24,0.6,0.6,0.288078,0.6034025,0.4175899
0,1,8,-69,23,16,28,7,extension,0.24,0.6,0.6,0.2889243,0.6036078,0.4183874
1,5,23,-21,-70,-28,-10,-3,extension,0.24,0.6,0.6,0.2889243,0.6036078,0.4183874
1,-12,-13,-39,-34,0,0,-1,extension,0.24,0.6,0.6,0.2889243,0.6036078,0.4183874
-11,-14,-20,-48,-92,-33,-13,-6,extension,0.24,0.6,0.6,0.2889243,0.6036078,0.4183874
16,11,-8,17,54,50,26,16,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
-29,-38,11,47,-42,-49,-20,-20,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
7,16,31,11,11,-4,7,4,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
-1,-15,-11,-67,32,41,3,4,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
12,23,13,-19,-27,2,-22,6,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
5,3,29,-39,-15,41,36,5,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
