ID; Timestamp; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesAtempted; AttemptsInCube; State; Event
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9458; 47; None; ; ; ; 0.1975023; 0.6846045; 0.1571486; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9573; 48; None; ; ; ; 0.197287; 0.6846455; 0.1571603; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9682; 49; None; ; ; ; 0.1971112; 0.6846306; 0.1570318; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9792; 50; None; ; ; ; 0.1971529; 0.6846998; 0.1569691; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9907; 51; None; ; ; ; 0.1970447; 0.6848738; 0.1566718; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0017; 52; None; ; ; ; 0.1970112; 0.6849614; 0.1565213; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0136; 53; None; ; ; ; 0.1969942; 0.6850156; 0.1562486; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0236; 54; None; ; ; ; 0.1971088; 0.6851306; 0.1557326; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0356; 55; None; ; ; ; 0.1972149; 0.685317; 0.1554313; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0466; 56; None; ; ; ; 0.1971476; 0.6854136; 0.1548727; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0575; 57; None; ; ; ; 0.1974479; 0.6855551; 0.1543005; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0685; 58; None; ; ; ; 0.1977973; 0.6857562; 0.1538315; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0805; 59; None; ; ; ; 0.1982534; 0.6858515; 0.1532669; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.0924; 60; None; ; ; ; 0.1988207; 0.6860415; 0.1524794; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1044; 61; None; ; ; ; 0.1994562; 0.6861521; 0.152055; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1174; 62; None; ; ; ; 0.2001464; 0.6862388; 0.1517169; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1274; 63; None; ; ; ; 0.200886; 0.6863258; 0.1513255; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1403; 64; None; ; ; ; 0.2017666; 0.6861955; 0.150913; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1523; 65; None; ; ; ; 0.202597; 0.6859362; 0.150528; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1633; 66; None; ; ; ; 0.2034976; 0.6856979; 0.1500604; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1742; 67; None; ; ; ; 0.2046296; 0.6853689; 0.1495721; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1852; 68; None; ; ; ; 0.2058427; 0.6849015; 0.1489134; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.1962; 69; None; ; ; ; 0.2071484; 0.6844294; 0.1481576; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2071; 70; None; ; ; ; 0.2083095; 0.683809; 0.1473193; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2191; 71; None; ; ; ; 0.2098882; 0.6831642; 0.1464505; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2301; 72; None; ; ; ; 0.2113572; 0.6828712; 0.1456175; extension; 0; ; Moving to rest position; 
